Load_res,LFW,Load,LFS
2116.92768,0.05851905,7650.51775,0.154356234
2293.04544,0.049880355,8003.05,0.070465798
2288.06424,0.042136042,8328.41825,0.011540819
2467.05648,0.052001889,8589.93,0
2266.29816,0.064764463,8849.78725,0
2017.69848,0.058439909,8432.282,0
1753.9536,0.056506215,8266.228,0
1496.30376,0.051765421,8021.17625,0
1220.34864,0.096316675,8280.664,0
1131.9336,0.088615269,7849.41625,0
1062.68736,0.10142075,7511.6515,0
1036.71792,0.11205607,7442.64925,0
1109.2368,0.126029587,7492.37025,0
1376.48616,0.137722337,7877.29925,0
1774.41432,0.133534572,8924.50675,0.000496989
1884.00744,0.173053262,9868.8155,0.04254042
1878.48528,0.157336749,9884.618,0.158681819
1860.77976,0.186982918,9792.70775,0.266837523
1978.61832,0.245188266,9595.203,0.361830207
1917.26304,0.247515756,9271.332,0.436592804
1792.8036,0.289288515,8682.8585,0.459349325
1701.96096,0.254291315,8489.23225,0.407808066
1698.6648,0.265779062,8433.1705,0.284204208
1827.60312,0.366478014,8594.35875,0.146321433
2069.54496,0.323650686,9072.54925,0.069185649
2261.8848,0.266717304,9476.68025,0.02373526
2495.46192,0.268326809,9617.21925,0.000548636
2481.54144,0.252882044,9825.9855,0
2311.1256,0.219458116,9757.735,0
2116.50432,0.163505883,9201.48575,0
1790.85144,0.133602271,9172.88475,0
1495.2,0.129932256,8807.248,0
1216.17048,0.56961796,7937.92675,0
1127.88648,0.603828524,7447.36225,0
1057.58856,0.621284217,7165.91175,0
1034.65824,0.68585226,7054.48925,0
1112.958,0.693108382,7178.99875,0
1402.45056,0.687558068,7573.18325,0
1813.04928,0.694227789,8549.8315,0
1892.11176,0.705131041,9360.43825,0.004007241
1855.19208,0.700760205,9558.454,0.024529426
1839.61848,0.687694418,9715.82275,0.048969953
1977.44904,0.664072452,9745.0745,0.098562202
1902.9948,0.641748197,9717.85175,0.239487873
1759.85544,0.588559203,9126.75975,0.367455415
1658.27088,0.506151208,8748.453,0.41548727
1659.89208,0.457054629,8467.67025,0.394820305
1820.09016,0.431160476,8407.97325,0.277036386
2126.86152,0.392825078,8640.7095,0.142504691
2355.09624,0.357351129,9279.41275,0.031086806
2707.04112,0.339275662,9760.6735,0.000241298
2595.2976,0.301589596,10204.97475,0
2404.92,0.306955884,10041.024,0
2166.35832,0.3630807,9478.911,0
1759.20864,0.410074815,9252.5835,0
1417.31184,0.418011735,8827.0265,0
1457.7948,0.137388612,9223.28825,0
1254.1536,0.111369552,8704.12825,0
1163.316,0.09276108,8406.9145,0
1080.55752,0.069270696,8316.47025,0
1081.962,0.05196947,8457.883,0
1165.53024,0.04917572,8930.33025,0
1534.6296,0.0414295,10054.8255,0
2045.53776,0.030402292,10978.11775,0
2184.65184,0.027614263,11035.094,0.01919039
2165.47464,0.024433393,10868.742,0.107708668
