LOAD_10_YEARS,LOAD_10_YEARS_2,LOAD_10_YEARS_3,LOAD_2020,LOAD_2019,LOAD_2018,LOAD_2017,LOAD_2016,LOAD_2015,LOAD_2014,LOAD_2013,LOAD_2012,LOAD_2011
6913147,2913147,1752.55752,6913147,5582911,6626900,7850765,9138238,8967011,8197215,6524138,8472473,8978966
6967967,2967967,1666.2828,6967967,5370759,6485717,7611637,8894529,8674222,7869331,6310566,8326025,8917904
6963907,2963907,1655.67696,6963907,5238548,6362973,7371061,8752713,8389501,7766905,6160293,8152807,8961524
7090328,3090328,1727.76408,7090328,5476544,6380212,7263206,8688983,8177345,7767839,6049378,8058251,9007332
7313292,3313292,1912.71024,7313292,5853427,6603835,7276633,8617747,7889232,7907803,6160712,8194580,9115194
7567528,3567528,2038.44144,7567528,6298667,7076808,7511830,8671540,7952277,8270261,6431369,8403511,9281022
7868871,3868871,2031.7584,7868871,6911278,7350949,7688937,8686347,7994601,8504062,6937708,8627704,9283677
8172951,4172951,1966.48704,8172951,7548799,7535721,7796476,8513285,8077734,8536379,7494562,8671343,9087177
8271237,4271237,2028.02712,8271237,7762350,7663104,7963316,8293809,8200090,8700001,7787593,8473946,8868596
8140465,4140465,1982.14968,8140465,7903622,7744156,7893319,8039621,8148800,8396042,7847769,8352882,8642409
8320980,4320980,1752.64992,8320980,8098184,8128634,8277746,8295960,8605428,8836488,8271552,8747199,8975812
8041711,4041711,1511.02224,8041711,7801966,7915479,8108114,8122895,8360419,8561647,8119813,8614595,8807082
7982233,3982233,1287.69816,7982233,7506883,7548430,8361843,8325521,8120581,8182347,7343674,8511282,8960337
7668894,3668894,1178.41752,7668894,7245292,7291407,7746877,7945957,7888497,7767618,7021031,8185800,8389534
7402180,3402180,1095.20544,7402180,6993417,7017526,7443285,7654469,7731516,7427571,6846920,7730763,8202229
7247975,3247975,1037.46216,7247975,6986358,6855204,7271704,7603395,7432557,7298728,6880412,7484873,8083963
7247689,3247689,1060.80912,7247689,7071369,6659588,7014060,7615372,7331063,7376050,6798465,7377139,8041877
7482078,3482078,1161.66288,7482078,7376887,6578593,7205464,7860257,7781974,7715022,7139399,7245793,8271651
8155325,4155325,1464.66264,8155325,8069666,6776928,7283474,8489038,8420891,8398463,8081527,7491717,8922989
8937097,4937097,1860.8856,8937097,9192230,6746627,7508446,9536415,9556510,9528483,9371051,7650678,9950007
9050920,5050920,2044.73808,9050920,9457088,6826574,7511831,9725827,9719190,9669697,9535092,7994197,10257507
8826779,4826779,2124.65904,8826779,9634124,6871134,7844721,9581103,9954658,9642650,9428466,8329419,10338252
8423883,4423883,2252.89176,8423883,9610399,6945767,7838638,9399674,10077042,9359691,9171270,8492389,10259474
7975023,3975023,2256.5256,7975023,9576114,6649144,7545618,9272746,10045589,9255055,8875007,8218156,10343705
7792226,3792226,2136.25272,7792226,9159167,6614883,7697576,8964925,9996513,8879556,8606753,8428460,10329834
7564940,3564940,2003.34288,7564940,9006855,6302648,7597961,8836214,10023341,8709613,8397615,8276697,10206806
7563213,3563213,1935.35496,7563213,9320323,6110500,7523851,8920445,10077578,8753238,8394301,7895893,10188178
7798079,3798079,1946.26152,7798079,9419313,6292360,7451388,8894322,9857623,8850362,8322436,7637386,9863664
8129852,4129852,2116.92768,8129852,9532178,6598150,7591673,9124795,9760018,8820299,8422909,7768352,9621241
8826388,4826388,2293.04544,8826388,9775779,6936370,7781404,9560939,10039610,9178989,8864808,7939471,9796085
9483079,5483079,2288.06424,9483079,9970288,7605532,8257279,9806305,9614051,9536031,9482047,8364963,9921470
9693810,5693810,2467.05648,9693810,9874819,8245006,8515535,9784571,9582371,9433141,9589620,8687350,9746291
9752261,5752261,2266.29816,9752261,9833450,8676654,8832888,9910697,9673094,9682617,9930261,9012323,9920604
9557527,5557527,2017.69848,9557527,9482305,8664556,8656237,9672058,9280573,9655135,9724661,9008622,9870428
9188129,5188129,1753.9536,9188129,9013941,8276087,8235233,9150583,9125855,9251889,9274784,8655980,9530406
8817133,4817133,1496.30376,8817133,8711619,8086029,8206072,8936362,8676533,8893168,9169634,8486082,9388051
7612148,3612148,1220.34864,7612148,7368219,8059307,8534267,7845009,8427620,7432397,7490449,8630257,8601501
7250501,3250501,1131.9336,7250501,6995080,7511744,8072760,7480174,8009785,7078414,7073390,8147121,8027335
6863176,2863176,1062.68736,6863176,6623782,7242670,7577515,7220595,7724450,6777707,6718547,7636092,7729915
6979709,2979709,1036.71792,6979709,6480574,7197551,7471250,7044296,7590694,6745979,6519667,7551516,7674857
7049980,3049980,1109.2368,7049980,6395659,7011851,7502651,7123631,7546397,6741779,6431670,7692927,7677308
7328439,3328439,1376.48616,7328439,6345042,7116751,7674297,7355891,7875371,7118889,6455903,8021232,7826491
8037790,4037790,1774.41432,8037790,6452668,7341569,8496219,8067035,8755474,8026663,6634130,8710588,8617467
8999520,4999520,1884.00744,8999520,6635139,7795320,9666798,9202555,9818781,9266066,6880806,9873975,9966283
9495978,5495978,1878.48528,9495978,6726305,7966640,9929075,9552358,9893427,9601042,6954857,10177403,10057878
9843281,5843281,1860.77976,9843281,7175924,8001295,9857020,9718032,9690055,9732674,7335002,10276394,10050141
9897120,5897120,1978.61832,9897120,7239779,7685108,9645540,9422949,9419173,9810002,7419957,9988323,10114733
10055498,6055498,1917.26304,10055498,7466012,7143524,9396326,9069204,8861972,9972121,7200981,9516726,10134061
10046253,6046253,1792.8036,10046253,7732905,6763703,8812699,8452487,8555922,9986427,7188404,9410328,10036257
10014354,6014354,1701.96096,10014354,7559345,6503319,8470964,8062439,8213931,10027922,7013879,9225918,9868369
9841329,5841329,1698.6648,9841329,7291583,6227141,8365331,8019317,8184657,10030271,6569692,9114249,9767019
9725162,5725162,1827.60312,9725162,7239781,6403095,8474642,8124644,8185595,9980240,6416057,8881538,9834969
9643015,5643015,2069.54496,9643015,7185352,6603007,8870546,8301320,8378067,9936636,6550976,8951202,9883905
9788363,5788363,2261.8848,9788363,7250101,7269797,9322629,8741759,8764802,10077023,6961449,9229577,9933545
10106928,6106928,2495.46192,10106928,7772213,8171422,9579941,9328997,9377957,10293374,7741951,9576653,10156153
10027894,6027894,2481.54144,10027894,8089542,8699450,9744230,9405325,9651103,10127684,8203821,9664787,10012126
9877874,5877874,2311.1256,9877874,8360925,9033429,9986098,9650821,10201642,10397077,8987146,9982877,10608412
9181901,5181901,2116.50432,9181901,7994256,8689250,9422774,9144552,9774703,9772628,8565875,9528440,10111329
8802968,4802968,1790.85144,8802968,7584789,8320581,9098843,8757865,9238369,9335509,8248654,9259336,9695708
8544627,4544627,1495.2,8544627,7497932,8247777,9043669,8471376,9135955,9103646,8070146,9453703,9561644
7288998,3288998,1216.17048,7288998,8333464,8183410,8083824,8162800,7675466,7605550,8500599,8897560,8425707
7020569,3020569,1127.88648,7020569,7881049,7828297,7532685,7773781,7317961,7162011,7922020,8333545,7968299
6647498,2647498,1057.58856,6647498,7463117,7470390,7163563,7450848,6943890,6913910,7476801,7862649,7785339
6451440,2451440,1034.65824,6451440,7234324,7402811,7072733,7353058,6859258,6649153,7165394,7799618,7337388
6457304,2457304,1112.958,6457304,7129259,7413791,7143398,7446271,6998338,6613960,7107110,7913786,7399539
6244838,2244838,1402.45056,6244838,7181049,7655049,7354265,7721371,7245446,6705042,7013082,8230621,7626335
6293407,2293407,1813.04928,6293407,7339781,8439259,8234186,8514808,8227028,6776228,7241132,8964356,8273379
6421765,2421765,1892.11176,6421765,7727857,9568129,9112060,9733082,9485017,7088206,7676021,10009593,9660302
6492196,2492196,1855.19208,6492196,8080278,9853104,9443014,10012029,9619902,7174141,8116869,10539195,10093467
6829174,2829174,1839.61848,6829174,8506347,9499094,9764028,10134283,9812309,7643375,8449996,10801259,10312768
6984010,2984010,1977.44904,6984010,8497399,8989768,9723588,10045220,9798421,7887685,8658606,10842509,10431455
7018678,3018678,1902.9948,7018678,8369502,8598248,9711206,9749700,9776685,8057733,8755050,10688602,10515546
6454581,2454581,1759.85544,6454581,8424368,7944933,9473295,9605114,9920814,8335040,8737798,10137410,10215881
6117120,2117120,1658.27088,6117120,8115577,7790502,8884369,9337189,9870353,8122047,8533486,9603135,10221790
6168629,2168629,1659.89208,6168629,7648641,7669600,8501970,9211270,9608310,7702442,8287086,9363156,10057342
6098732,2098732,1820.09016,6098732,7372021,7625933,8348007,9103102,9563290,7577556,7974862,9156354,10025830
5952328,1952328,2126.86152,5952328,7667356,8037124,8494409,9183873,9725052,7667989,8059757,9243197,9779210
6539520,2539520,2355.09624,6539520,7903916,8680987,9049792,9315933,9970655,7874002,8296215,9639696,9808404
7431597,3431597,2707.04112,7431597,8411471,9398218,9634532,9791577,10372024,8449864,8712283,10191385,9996485
7928124,3928124,2595.2976,7928124,8863155,9570193,9940434,9815846,10377308,8905080,8892117,10222651,10154624
8090193,4090193,2404.92,8090193,8969276,9728648,10328119,10008293,10391836,9220770,9226849,10709149,10492334
7729687,3729687,2166.35832,7729687,8426915,9333416,9721878,9361573,9762663,8707708,8648653,9985202,9830162
7414707,3414707,1759.20864,7414707,8102317,8758115,9326272,8893996,9363366,8434437,8348652,9716991,9471799
7187513,3187513,1417.31184,7187513,8106880,8611415,9121509,8708057,9170004,8261968,8371277,9836848,9073618
7189781,3189781,1457.7948,7189781,8669698,9058028,9461499,9244659,8824935,8513928,9224428,10533374,10032208
6877544,2877544,1254.1536,6877544,8346268,8623866,8929706,8601571,8236343,8027651,8738993,9799196,9598729
6504604,2504604,1163.316,6504604,7982326,8144302,8558402,8208471,7716121,7744229,8271021,9406794,9014700
6521506,2521506,1080.55752,6521506,7773777,8018988,8315412,7977176,7579379,7436189,7933725,9117070,8848192
6634346,2634346,1081.962,6634346,7616513,7879638,8398937,7881909,7519900,7385289,7833652,9072136,8806199
6893057,2893057,1165.53024,6893057,7695162,7836233,8755491,8050637,7845255,7994349,7743631,9355660,8892587
7598563,3598563,1534.6296,7598563,7854937,8129790,9626260,8969187,8728481,8972955,7831256,10128964,9754480
8612270,4612270,2045.53776,8612270,7984052,8267603,10696781,9959148,9729222,10074301,7951228,11282705,10882491
